State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi,Trip_Preference_Tags,Itinerary_Role,City_Transport_Fares_JSON,Auto_Fare_Min,Auto_Fare_PerKm,Rapido_Bike_Min,Rapido_Bike_PerKm,Ola_Car_Base,Ola_Car_PerKm,Uber_Car_Base,Uber_Car_PerKm,Uber_Auto_Min,Uber_Auto_PerKm,City_Taxi_PerKm,Transport_Fare_Note,Surge_Pricing_Note,Nightlife_Party_Info_JSON,Venue_Type,Cover_Charge,Avg_Drinks_Price,Music_Genre,Club_Timings,Dress_Code,Ladies_Night_Info,Nightlife_Note
Manipur,Imphal,Imphal War Cemetery,Memorial,1946,1.0,4.7,0.0,Yes,Open All Days,Commemorates soldiers of the British Indian Army from WWII,Yes,0.03,Morning,India,http://googleusercontent.com/maps.google.com/mn7,Imphal International Airport,Dimapur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Ima Keithel,Luxmi Kitchen,October to March,Imphal Special Cuisine,8.0,0.0,0.0,75.0,No,Non-Religious,62,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manipur,Imphal,Manipur State Museum,Museum,1969,1.5,4.2,10.0,Yes,Monday,Showcases Manipur's royal heritage and tribal culture,No,0.02,Morning,India,http://googleusercontent.com/maps.google.com/mn8,Imphal International Airport,Dimapur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Ima Keithel,Luxmi Kitchen,October to March,Imphal Special Cuisine,8.0,0.0,0.0,67.0,No,Non-Religious,10,0,4.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.2,0,,5,,,,,,,"Foodie, History, Museum, Popular",Afternoon,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manipur,Senapati,Dzukou Valley,Natural Feature,Ancient,12.0,4.9,50.0,No,Open All Days,Pristine valley known for its seasonal flowers and trekking,Yes,0.05,Morning,India,http://googleusercontent.com/maps.google.com/mn11,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Senapati Main Market,Senapati Famous Restaurant,October to March,Senapati Special Cuisine,8.0,0.0,0.0,78.0,No,Non-Religious,0,0,5.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.9,0,,5,,,,,,,"Foodie, History, Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manipur,Ukhrul,Sirohi National Park,National Park,1982,4.0,4.4,30.0,No,Open All Days,Home to the rare Shirui Lily which blooms nowhere else,Yes,0.01,Morning,India,http://googleusercontent.com/maps.google.com/mn12,Imphal International Airport,Dimapur Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Ukhrul Main Market,Ukhrul Famous Restaurant,October to March,Ukhrul Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,17,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manipur,Senapati,Willong Khullen (Megalithic site),Historical Site,Unknown,1.0,4.5,0.0,No,Open All Days,Village with mysterious and massive stone monoliths,Yes,0.01,Morning,India,http://googleusercontent.com/maps.google.com/mn13,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Senapati Main Market,Senapati Famous Restaurant,October to March,Senapati Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,81,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manipur,Kakching,Kakching Garden,Garden,Unknown,1.5,4.5,20.0,No,Open All Days,Beautiful park overlooking the plains of Kakching,Yes,0.04,Evening,India,http://googleusercontent.com/maps.google.com/mn14,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Kakching Main Market,Kakching Famous Restaurant,October to March,Kakching Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,79,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Manipur,Moreh,Moreh Border Town,Landmark,Unknown,2.0,4.1,0.0,No,Open All Days,Commercial hub on the Indo-Myanmar border,Yes,0.02,Afternoon,India,http://googleusercontent.com/maps.google.com/mn15,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Moreh Main Market,Moreh Famous Restaurant,October to March,Moreh Special Cuisine,8.0,0.0,0.0,66.0,No,Non-Religious,2,0,4.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.1,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meghalaya,Shillong,Elephant Falls,Waterfall,Ancient,1.0,4.4,20.0,Yes,Open All Days,Three-step waterfall with a staircase path,Yes,0.15,Morning,India,http://googleusercontent.com/maps.google.com/ml1,Shillong Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Police Bazar,City Hut Dhaba,October to March,Shillong Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,21,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meghalaya,Shillong,Shillong Peak,Natural Feature,Ancient,1.0,4.5,30.0,Yes,Open All Days,Highest point in Shillong offering panoramic views,Yes,0.08,Morning,India,http://googleusercontent.com/maps.google.com/ml2,Shillong Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Police Bazar,City Hut Dhaba,October to March,Shillong Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,0,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meghalaya,Shillong,Ward's Lake,Lake,1894,1.0,4.4,10.0,Yes,Open All Days,Artificial lake with a bridge and botanical garden,Yes,0.06,Evening,India,http://googleusercontent.com/maps.google.com/ml3,Shillong Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Police Bazar,City Hut Dhaba,October to March,Shillong Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,34,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,,"Foodie, History, Nature, Popular",Evening,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meghalaya,Shillong,Don Bosco Museum,Museum,2010,2.5,4.7,100.0,Yes,Sunday,Premier museum showcasing indigenous cultures of the Northeast,No,0.04,Morning,India,http://googleusercontent.com/maps.google.com/ml4,Shillong Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Police Bazar,City Hut Dhaba,October to March,Shillong Special Cuisine,8.0,0.0,0.0,75.0,No,Non-Religious,10,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Museum, Popular",Afternoon,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meghalaya,Shillong,Laitlum Canyons,Natural Feature,Ancient,2.0,4.8,0.0,Yes,Open All Days,"Breathtaking gorges and valleys, ""The End of Hills""",Yes,0.03,Afternoon,India,http://googleusercontent.com/maps.google.com/ml5,Shillong Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Police Bazar,City Hut Dhaba,October to March,Shillong Special Cuisine,8.0,0.0,0.0,77.0,No,Non-Religious,0,0,5.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.8,0,,5,,,,,,,"Foodie, History, Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meghalaya,Cherrapunji,Seven Sisters Falls,Waterfall,Ancient,0.5,4.5,0.0,No,Open All Days,"Seven segmented waterfall, also known as Nohsngithiang Falls",Yes,0.08,Morning,India,http://googleusercontent.com/maps.google.com/ml7,Shillong Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Cherrapunji Main Market,Cherrapunji Famous Restaurant,October to March,Cherrapunji Special Cuisine,8.0,0.0,0.0,72.0,No,Non-Religious,21,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meghalaya,Cherrapunji,Mawsmai Cave,Cave,Unknown,1.0,4.4,20.0,No,Open All Days,"Fully lit limestone caves, easy to navigate",Yes,0.1,Morning,India,http://googleusercontent.com/maps.google.com/ml8,Shillong Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Cherrapunji Main Market,Cherrapunji Famous Restaurant,October to March,Cherrapunji Special Cuisine,8.0,0.0,0.0,70.0,No,Non-Religious,7,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meghalaya,Dawki,Umngot River,Natural Feature,Ancient,2.0,4.7,0.0,No,Open All Days,Crystal clear river famous for boat rides,Yes,0.04,Morning,India,http://googleusercontent.com/maps.google.com/ml11,Shillong Airport,Guwahati Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Dawki Main Market,Dawki Famous Restaurant,October to March,Dawki Special Cuisine,8.0,0.0,0.0,75.0,No,Non-Religious,0,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Nature, Popular",Any Time,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Meghalaya,Jowai,Krang Suri Falls,Waterfall,Ancient,2.0,4.7,50.0,No,Open All Days,Stunning turquoise blue waterfalls,Yes,0.03,Morning,India,http://googleusercontent.com/maps.google.com/ml12,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jowai Main Market,Jowai Famous Restaurant,October to March,Jowai Special Cuisine,8.0,0.0,0.0,75.0,No,Non-Religious,21,0,5.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.7,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b920-30"", ""Auto_PerKm"": ""\u20b910-15"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b914"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b914"", ""Uber_Auto_Min"": ""\u20b920"", ""Uber_Auto_PerKm"": ""\u20b910"", ""City_Taxi_PerKm"": ""\u20b914-18/km"", ""Note"": ""Estimated 2025 Indian rates""}",₹20-30,₹10-15,₹20,₹7,₹35,₹14,₹35,₹14,₹20,₹10,₹14-18/km,Estimated 2025 Indian rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
