State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Country,Maps,Nearest Airport,Major Railway Station,Taxi Fare (Airport to City),Scooter Rental (Per Day),Must Try Food,Travel Tip,Time Slot,Area,Ideal For,Budget Level,Nightlife Spot,Day Priority,Is_Shopping,Is_Beach,Adventure_Available,Avg_Adventure_Base_Price,Famous Market,Famous Restaurant,Best Season,Food Specialty,Tourism Score (1-10),Latitude,Longitude,Popularity Index (0-100),Nightlife Hotspot,Heritage Category,Type_Encoded,Heritage_Encoded,Nightlife Score (0-10),Place_Image_URL,Nearby_Restaurants,Nearby_Hotels,Local_Transport_Options,Nearest_Metro_Station,Avg_Local_Transport_Cost,Climate_Type,Packing_Suggestions,Recommended_Duration_Min,Recommended_Duration_Max,Short_Description,User_Rating_Avg,User_Rating_Count,Peak_Hours,Crowd_Level,Best_Visit_Time,Place_Description_AI,Common_Questions,Name_Hindi,Description_Hindi,Name_Marathi,Trip_Preference_Tags,Itinerary_Role,City_Transport_Fares_JSON,Auto_Fare_Min,Auto_Fare_PerKm,Rapido_Bike_Min,Rapido_Bike_PerKm,Ola_Car_Base,Ola_Car_PerKm,Uber_Car_Base,Uber_Car_PerKm,Uber_Auto_Min,Uber_Auto_PerKm,City_Taxi_PerKm,Transport_Fare_Note,Surge_Pricing_Note,Nightlife_Party_Info_JSON,Venue_Type,Cover_Charge,Avg_Drinks_Price,Music_Genre,Club_Timings,Dress_Code,Ladies_Night_Info,Nightlife_Note
Goa,Loutolim,Ancestral Goa (Big Foot),Museum,1995,1.5,4.2,100.0,Yes,Open All Days,Eco-tourism project showcasing Goan village life,Yes,0.08,Morning,India,http://googleusercontent.com/maps.google.com/ga15,Dabolim Airport / Manohar International Airport (Mopa),Madgaon Junction / Karmali / Thivivm,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Anjuna Flea Market,Britto's,October to March,Loutolim Special Cuisine,8.0,15.339727,73.9868803,67.0,No,Non-Religious,10,0,4.4,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.2,0,,5,,,,,,,"Foodie, History, Museum, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b918"", ""Rapido_Bike_Min"": ""\u20b930"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b945"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b945"", ""Uber_Car_PerKm"": ""\u20b920"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b920-30/km"", ""Note"": ""Goa tourist taxi rates 2025""}",₹25,₹18,₹30,₹10,₹45,₹20,₹45,₹20,,,₹20-30/km,Goa tourist taxi rates 2025,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Goa,Ponda,Sahakari Spice Farm,Farm,Unknown,3.0,4.4,400.0,Yes,Open All Days,Guided spice tour with authentic Goan lunch,Yes,0.05,Afternoon,India,http://googleusercontent.com/maps.google.com/ga16,Dabolim Airport / Manohar International Airport (Mopa),Madgaon Junction / Karmali / Thivivm,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Anjuna Flea Market,Britto's,October to March,Ponda Special Cuisine,8.0,15.4094752,74.0237045,70.0,No,Non-Religious,83,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b918"", ""Rapido_Bike_Min"": ""\u20b930"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b945"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b945"", ""Uber_Car_PerKm"": ""\u20b920"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b920-30/km"", ""Note"": ""Goa tourist taxi rates 2025""}",₹25,₹18,₹30,₹10,₹45,₹20,₹45,₹20,,,₹20-30/km,Goa tourist taxi rates 2025,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Goa,Bondla,Bondla Wildlife Sanctuary,Wildlife Sanctuary,1969,3.0,4.1,10.0,No,Thursday,Smallest but most popular wildlife sanctuary in Goa,Yes,0.04,Morning,India,http://googleusercontent.com/maps.google.com/ga17,Dabolim Airport / Manohar International Airport (Mopa),Madgaon Junction / Karmali / Thivivm,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Anjuna Flea Market,Britto's,October to March,Bondla Special Cuisine,8.0,15.4401104,74.1063776,66.0,No,Non-Religious,16,0,4.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.1,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b918"", ""Rapido_Bike_Min"": ""\u20b930"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b945"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b945"", ""Uber_Car_PerKm"": ""\u20b920"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b920-30/km"", ""Note"": ""Goa tourist taxi rates 2025""}",₹25,₹18,₹30,₹10,₹45,₹20,₹45,₹20,,,₹20-30/km,Goa tourist taxi rates 2025,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Goa,Canacona,Cotigao Wildlife Sanctuary,Wildlife Sanctuary,1968,4.0,4.3,20.0,No,Open All Days,Ancient multi-story forest with observation decks,Yes,0.02,Morning,India,http://googleusercontent.com/maps.google.com/ga18,Dabolim Airport / Manohar International Airport (Mopa),Madgaon Junction / Karmali / Thivivm,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Anjuna Flea Market,Britto's,October to March,Canacona Special Cuisine,8.0,14.9760305,74.2061931,69.0,No,Non-Religious,16,0,4.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.3,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b918"", ""Rapido_Bike_Min"": ""\u20b930"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b945"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b945"", ""Uber_Car_PerKm"": ""\u20b920"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b920-30/km"", ""Note"": ""Goa tourist taxi rates 2025""}",₹25,₹18,₹30,₹10,₹45,₹20,₹45,₹20,,,₹20-30/km,Goa tourist taxi rates 2025,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Goa,Panaji,Goa State Museum,Museum,1977,2.0,4.3,0.0,Yes,Monday,Museum preserving the history and art of Goa,No,0.03,Morning,India,http://googleusercontent.com/maps.google.com/ga19,Dabolim Airport / Manohar International Airport (Mopa),Madgaon Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Anjuna Flea Market,Britto's,October to March,Panaji Special Cuisine,8.0,15.5007546,73.82986799999999,69.0,No,Non-Religious,10,0,4.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.3,0,,5,,,,,,,"Foodie, History, Museum, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b918"", ""Rapido_Bike_Min"": ""\u20b930"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b945"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b945"", ""Uber_Car_PerKm"": ""\u20b920"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b920-30/km"", ""Note"": ""Goa tourist taxi rates 2025""}",₹25,₹18,₹30,₹10,₹45,₹20,₹45,₹20,,,₹20-30/km,Goa tourist taxi rates 2025,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Goa,Old Goa,Museum of Christian Art,Museum,1994,1.0,4.5,100.0,Yes,Open All Days,Unique museum showcasing Indo-Portuguese Christian art,No,0.02,Morning,India,http://googleusercontent.com/maps.google.com/ga20,Dabolim Airport / Manohar International Airport (Mopa),Karmali Railway Station,"₹1,200 - ₹2,000",₹400 - ₹600,"Seafood, Bibinca, Feni, Cashews","Carry sunscreen, avoid peak sun (12-3 PM), keep cash handy for shacks.",Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Anjuna Flea Market,Britto's,October to March,Old Goa Special Cuisine,8.0,15.5011002,73.9069769,72.0,No,Non-Religious,10,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Museum, Popular",Afternoon,"{""Auto_Min"": ""₹25"", ""Auto_PerKm"": ""₹18"", ""Rapido_Bike_Min"": ""NA"", ""Rapido_Bike_PerKm"": ""NA"", ""Ola_Car_Base"": ""NA"", ""Ola_Car_PerKm"": ""NA"", ""Uber_Car_Base"": ""NA"", ""Uber_Car_PerKm"": ""NA"", ""Uber_Auto_Min"": ""NA"", ""Uber_Auto_PerKm"": ""NA"", ""City_Taxi_PerKm"": ""₹20-30/km"", ""Note"": ""Goa tourist taxi rates 2025""}",₹25,₹18,,,,,,,,,₹20-30/km,"Ola, Uber and Rapido not available in this city","Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Goa,Margao,Majorda Beach,Beach,Ancient,2.0,4.6,0.0,No,Open All Days,Vibrant beach famous for Goan toddy and baked goods,Yes,0.12,Evening,India,http://googleusercontent.com/maps.google.com/ga21,Dabolim Airport / Manohar International Airport (Mopa),Madgaon Junction / Karmali / Thivivm,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Afternoon,City Center,Family & Friends,Mid-Range,No,2.0,No,Yes,Yes,1000.0,Anjuna Flea Market,Britto's,October to March,Margao Special Cuisine,8.0,15.3111553,73.9018114,74.0,No,Non-Religious,1,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,,"Adventure, Beach, Foodie, History, Nature, Popular",Afternoon,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b918"", ""Rapido_Bike_Min"": ""\u20b930"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b945"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b945"", ""Uber_Car_PerKm"": ""\u20b920"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b920-30/km"", ""Note"": ""Goa tourist taxi rates 2025""}",₹25,₹18,₹30,₹10,₹45,₹20,₹45,₹20,,,₹20-30/km,Goa tourist taxi rates 2025,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Goa,Arpora,Saturday Night Market,Market,Unknown,3.0,4.5,0.0,Yes,Sunday-Friday,"Lively night market with food, music, and shopping",Yes,0.15,Night,India,http://googleusercontent.com/maps.google.com/ga22,Dabolim Airport / Manohar International Airport (Mopa),Madgaon Junction / Karmali / Thivivm,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Mid-Range,No,2.0,Yes,No,No,0.0,Anjuna Flea Market,Britto's,October to March,Arpora Special Cuisine,8.0,15.5678619,73.76607950000002,72.0,No,Non-Religious,25,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Popular, Shopping",Evening,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b918"", ""Rapido_Bike_Min"": ""\u20b930"", ""Rapido_Bike_PerKm"": ""\u20b910"", ""Ola_Car_Base"": ""\u20b945"", ""Ola_Car_PerKm"": ""\u20b920"", ""Uber_Car_Base"": ""\u20b945"", ""Uber_Car_PerKm"": ""\u20b920"", ""Uber_Auto_Min"": ""N/A"", ""Uber_Auto_PerKm"": ""N/A"", ""City_Taxi_PerKm"": ""\u20b920-30/km"", ""Note"": ""Goa tourist taxi rates 2025""}",₹25,₹18,₹30,₹10,₹45,₹20,₹45,₹20,,,₹20-30/km,Goa tourist taxi rates 2025,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Kerala,Munnar,Eravikulam National Park,National Park,1978,3.0,4.5,125.0,No,Open All Days,Home to the endangered Nilgiri Tahr,Yes,0.25,Morning,India,http://googleusercontent.com/maps.google.com/kl1,Cochin International Airport,Aluva Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Munnar Main Market,Munnar Famous Restaurant,October to March,Munnar Special Cuisine,8.0,10.1453912,77.0366346,72.0,No,Non-Religious,17,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Kerala,Munnar,Mattupetty Dam,Dam,1953,1.5,4.4,10.0,No,Open All Days,Storage masonry dam with boating facilities,Yes,0.15,Afternoon,India,http://googleusercontent.com/maps.google.com/kl2,Cochin International Airport,Aluva Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Munnar Main Market,Munnar Famous Restaurant,October to March,Munnar Special Cuisine,8.0,10.1060467,77.1243507,70.0,No,Non-Religious,59,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Kerala,Kochi,Paradesi Synagogue,Religious Site,1568,0.5,4.4,5.0,Yes,Saturday,Oldest active synagogue in the Commonwealth,No,0.05,Morning,India,http://googleusercontent.com/maps.google.com/kl4,Cochin International Airport,Ernakulam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jew Town,Kashi Art Cafe,October to March,Kochi Special Cuisine,8.0,9.9574642,76.2594221,70.0,No,Non-Religious,61,0,4.8,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.4,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Kerala,Kochi,Chinese Fishing Nets,Landmark,14th Century,0.5,4.3,0.0,Yes,Open All Days,Iconic shore-operated lift nets from the Yuan dynasty,Yes,0.2,Evening,India,http://googleusercontent.com/maps.google.com/kl5,Cochin International Airport,Ernakulam Junction,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Jew Town,Kashi Art Cafe,October to March,Kochi Special Cuisine,8.0,9.9683959,76.2422419,69.0,No,Non-Religious,2,0,4.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.3,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Kerala,Athirappilly,Athirappilly Waterfalls,Waterfall,Ancient,2.0,4.6,50.0,Yes,Open All Days,"Largest waterfall in Kerala, ""Niagara of India""",Yes,0.4,Morning,India,http://googleusercontent.com/maps.google.com/kl6,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Athirappilly Main Market,Athirappilly Famous Restaurant,October to March,Athirappilly Special Cuisine,8.0,10.2851072,76.56976430000002,74.0,No,Non-Religious,21,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,,"Foodie, History, Nature, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Kerala,Wayanad,Edakkal Caves,Cave,Unknown,2.5,4.5,50.0,No,Monday,Prehistoric rock carvings from the Neolithic era,Yes,0.12,Morning,India,http://googleusercontent.com/maps.google.com/kl7,Kannur International Airport,Kozhikode Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Wayanad Main Market,Wayanad Famous Restaurant,October to March,Wayanad Special Cuisine,8.0,11.6268407,76.234269,72.0,No,Non-Religious,7,0,5.0,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.5,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Kerala,Kollam,Jatayu Earth's Center,Landmark,2018,4.0,4.6,400.0,Yes,Open All Days,World's largest bird sculpture and adventure park,Yes,0.1,Morning,India,http://googleusercontent.com/maps.google.com/kl9,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Flexible,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Kollam Main Market,Kollam Famous Restaurant,October to March,Kollam Special Cuisine,8.0,8.8608338,76.8663916,74.0,No,Non-Religious,2,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,,"Foodie, History, Popular",Any Time,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Kerala,Guruvayur,Guruvayur Temple,Temple,Unknown,2.0,4.8,0.0,Yes,Open All Days,Important Hindu temple dedicated to Lord Krishna,No,0.5,Morning,India,http://googleusercontent.com/maps.google.com/kl10,Unknown,Unknown,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Morning,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Guruvayur Main Market,Guruvayur Famous Restaurant,October to March,Guruvayur Special Cuisine,8.0,10.5946914,76.0394266,77.0,No,Religious Heritage,3,1,5.6,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.8,0,,5,,,,,,,"Foodie, History, Popular",Morning,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
Kerala,Alappuzha,Vembanad Lake,Lake,Ancient,3.0,4.6,0.0,Yes,Open All Days,"Longest lake in India, hub for houseboat cruises",Yes,0.1,All,India,http://googleusercontent.com/maps.google.com/kl14,Cochin International Airport,Alappuzha Railway Station,"₹500 - ₹1,200",₹500,Local Cuisine,Respect local customs and carry water.,Evening,City Center,Family & Friends,Mid-Range,No,2.0,No,No,No,0.0,Alappuzha Main Market,Alappuzha Famous Restaurant,October to March,Alappuzha Special Cuisine,8.0,9.5967665,76.39845369999999,74.0,No,Non-Religious,34,0,5.2,,,,"Taxi, Bus, Metro",,300,,,60,180,,4.6,0,,5,,,,,,,"Foodie, History, Nature, Popular",Evening,"{""Auto_Min"": ""\u20b925"", ""Auto_PerKm"": ""\u20b914"", ""Rapido_Bike_Min"": ""\u20b920"", ""Rapido_Bike_PerKm"": ""\u20b97"", ""Ola_Car_Base"": ""\u20b935"", ""Ola_Car_PerKm"": ""\u20b916"", ""Uber_Car_Base"": ""\u20b935"", ""Uber_Car_PerKm"": ""\u20b916"", ""Uber_Auto_Min"": ""\u20b925"", ""Uber_Auto_PerKm"": ""\u20b914"", ""City_Taxi_PerKm"": ""\u20b915-20/km"", ""Note"": ""2025 Kerala rates""}",₹25,₹14,₹20,₹7,₹35,₹16,₹35,₹16,₹25,₹14,₹15-20/km,2025 Kerala rates,"Peak hours (8-10AM, 5-9PM): up to 2x base. Off-peak: 50% minimum applies. Source: MoRTH 2025 guidelines",,,,,,,,,
